id,date_time,customer,product
0,2025-03-14T15:24:45+01:00,23,3
1,2025-03-17T09:07:23+01:00,16,0
2,2025-03-20T12:45:43+01:00,22,6
3,2025-03-24T16:29:57+01:00,22,6
4,2025-03-26T23:24:40+01:00,0,0
5,2025-03-29T12:12:52+01:00,0,4
6,2025-03-29T20:05:28+01:00,21,0
7,2025-04-03T19:05:27+02:00,16,2
8,2025-04-04T06:22:00+02:00,22,1
9,2025-04-06T10:45:33+02:00,25,7
10,2025-04-11T10:18:57+02:00,28,5
11,2025-04-12T17:37:30+02:00,15,1
12,2025-04-14T04:50:59+02:00,7,7
13,2025-04-16T12:15:46+02:00,18,5
14,2025-04-18T13:20:11+02:00,15,2
15,2025-04-21T07:13:55+02:00,24,5
16,2025-04-23T02:58:18+02:00,9,7
17,2025-04-24T10:15:15+02:00,26,2
18,2025-04-24T10:16:34+02:00,26,2
19,2025-04-26T20:17:24+02:00,6,2
20,2025-04-28T08:23:48+02:00,0,9
21,2025-05-01T01:43:40+02:00,10,3
22,2025-05-01T18:37:43+02:00,13,6
23,2025-05-03T18:09:27+02:00,0,5
24,2025-05-06T16:47:40+02:00,0,7
25,2025-05-08T17:57:46+02:00,18,0
26,2025-05-12T00:29:52+02:00,22,7
27,2025-05-15T09:30:45+02:00,14,6
28,2025-05-16T21:36:10+02:00,2,1
29,2025-05-22T08:42:46+02:00,28,5
30,2025-05-27T19:41:44+02:00,1,0
31,2025-06-02T05:13:28+02:00,11,3
32,2025-06-04T10:40:54+02:00,22,7
33,2025-06-07T09:41:45+02:00,21,1
34,2025-06-07T12:58:25+02:00,25,2
35,2025-06-07T20:55:45+02:00,21,2
36,2025-06-09T04:15:52+02:00,21,5
37,2025-06-14T21:21:23+02:00,6,0
38,2025-06-19T22:50:27+02:00,27,6
39,2025-06-21T16:59:20+02:00,7,8
40,2025-06-22T07:16:14+02:00,8,7
41,2025-06-24T14:57:35+02:00,13,3
42,2025-06-30T04:29:31+02:00,16,9
43,2025-07-01T00:04:56+02:00,13,0
44,2025-07-03T04:41:36+02:00,12,2
45,2025-07-03T10:07:05+02:00,19,7
46,2025-07-05T21:51:09+02:00,21,8
47,2025-07-08T16:29:56+02:00,0,1
48,2025-07-08T19:55:33+02:00,21,5
49,2025-07-11T15:23:11+02:00,12,2
50,2025-07-16T02:26:17+02:00,0,6
51,2025-07-19T04:29:01+02:00,20,8
52,2025-07-21T20:23:38+02:00,7,7
53,2025-07-27T08:12:19+02:00,2,6
54,2025-07-28T05:22:49+02:00,27,2
55,2025-07-30T16:07:55+02:00,3,5
56,2025-08-03T21:41:01+02:00,8,1
57,2025-08-04T21:59:27+02:00,19,7
58,2025-08-09T11:14:01+02:00,29,7
59,2025-08-13T02:02:08+02:00,29,4
60,2025-08-16T17:41:09+02:00,11,8
61,2025-08-18T04:58:25+02:00,1,1
62,2025-08-21T16:31:36+02:00,2,6
63,2025-08-27T02:36:09+02:00,19,4
64,2025-08-28T04:10:53+02:00,13,2
65,2025-09-02T09:15:18+02:00,21,0
66,2025-09-06T08:27:57+02:00,3,3
67,2025-09-11T10:24:30+02:00,16,8
68,2025-09-15T08:20:58+02:00,12,8
69,2025-09-18T12:23:35+02:00,5,1
70,2025-09-22T17:25:25+02:00,12,6
71,2025-09-27T12:45:37+02:00,21,7
72,2025-09-30T08:34:07+02:00,23,4
73,2025-10-01T13:13:26+02:00,17,5
74,2025-10-03T22:51:03+02:00,28,8
75,2025-10-05T13:01:02+02:00,6,8
76,2025-10-06T22:16:16+02:00,9,1
77,2025-10-11T07:56:29+02:00,23,2
78,2025-10-16T06:43:07+02:00,24,7
79,2025-10-16T10:07:52+02:00,10,0
80,2025-10-20T11:24:26+02:00,19,2
81,2025-10-23T05:58:59+02:00,25,8
82,2025-10-27T00:16:34+01:00,19,5
83,2025-10-29T12:15:48+01:00,29,4
84,2025-11-04T00:34:39+01:00,8,9
85,2025-11-07T11:19:01+01:00,6,3
86,2025-11-12T19:53:10+01:00,17,3
87,2025-11-17T17:32:04+01:00,21,3
88,2025-11-20T03:37:12+01:00,0,7
89,2025-11-22T01:52:10+01:00,18,3
90,2025-11-26T08:23:00+01:00,22,7
91,2025-11-29T05:44:38+01:00,8,0
92,2025-12-04T07:13:26+01:00,25,6
93,2025-12-09T03:49:48+01:00,0,7
94,2025-12-13T13:41:33+01:00,27,0
95,2025-12-17T18:13:12+01:00,14,1
96,2025-12-17T18:31:18+01:00,16,4
97,2025-12-22T02:20:54+01:00,2,6
98,2025-12-25T11:59:02+01:00,12,9
99,2025-12-31T06:21:36+01:00,3,1
